"t","g","y","pres","gop","s","l"
-53,0,0.470107867968453,0.000255970945886932,3.48630577162194e-05,0,0
-53,1,0.715721091964686,0.000102840878218936,0,0,0
-52,0,1.1979508142488,0.000724513987052405,0.000116827237656712,0,0
-52,1,0.797222487953193,0.000102840878218936,0.000102840878218936,0,0
-51,0,1.29649849716561,0.00099858492750587,0.000223370387491529,0,0
-51,1,1.05355337691389,0.000925567903970426,0.000102840878218936,0,0
-50,0,1.35099480410173,0.000901605979345413,0.000216685730407299,0,0
-50,1,1.03005423624086,0.000925567903970426,0.000411363512875745,0,0
-49,0,3.08435163347839,0.00142177514137679,0.000323228880242116,0,0
-49,1,0.857281560833052,0.000514204391094681,0.000514204391094681,0,0
-48,0,3.05168911345386,0.000897698025973094,0.00022912947667179,0,0
-48,1,1.56930038118186,0.000411363512875745,0.000308522634656809,0,0
-47,0,1.28392424582666,0.000648103214535736,0.000145622683558014,0,0
-47,1,1.30679903952802,0.000822727025751489,0.000102840878218936,0,0
-46,0,2.93634592109029,0.000609229362568978,0.000222650501343997,0,0
-46,1,0.804524190306738,0.000719886147532553,0.000617045269313617,0,0
-45,0,0.788057257465883,0.000870342352366857,0.000119089736977528,0,0
-45,1,1.51541176099513,0.000719886147532553,0.000205681756437872,0,0
-44,0,0.941966241945509,0.000680395250296482,0.000114770420092333,0,0
-44,1,1.0226496930091,0.000617045269313617,0.000308522634656809,0,0
-43,0,0.54605683352148,0.00107016217874625,0.000100681219776339,0,0
-43,1,0.944284943806272,0.000719886147532553,0.000308522634656809,0,0
-42,0,1.32723136237168,0.000611389021011576,0.00014017211701241,0,0
-42,1,1.56672935922638,0.000205681756437872,0,0,0
-41,0,0.747191480528902,0.000572515169044818,2.900112765774e-05,0,0
-41,1,1.55629101008716,0.000205681756437872,0.000102840878218936,0,0
-40,0,1.35448398941794,0.000606658340613505,0.000154364158206623,0,0
-40,1,1.62540008025029,0.000411363512875745,0.000102840878218936,0,0
-39,0,0.728570082709799,0.00054618790422077,7.87761127157051e-05,0,0
-39,1,1.42984815031698,0.000411363512875745,0,0,0
-38,0,1.97760772025913,0.000640390148669316,0.000107057354225913,0,0
-38,1,1.41925553986043,0.000308522634656809,0.000205681756437872,0,0
-37,0,0.517617165638376,0.000469982813460538,0.00020300789360418,0,0
-37,1,1.1236394354201,0.000411363512875745,0.000308522634656809,0,0
-36,0,0.625876472628473,0.000525825410333421,0.000140274957890629,0,0
-36,1,0.703945811408618,0.000719886147532553,0.000205681756437872,0,0
-35,0,0.774754789868263,0.000656536166549689,0.000231289135114387,0,0
-35,1,2.19328740977525,0.000514204391094681,0,0,0
-34,0,0.617842440381131,0.000977708229227426,0.000327959560640187,0,0
-34,1,1.86635625791725,0.000822727025751489,0.000205681756437872,0,0
-33,0,0.668067200019987,0.000754954887005211,0.000412700444292591,0,0
-33,1,0.456099294900982,0.000719886147532553,0.000514204391094681,0,0
-32,0,0.684613217496192,0.000915180975270313,0.000240956177666967,0,0
-32,1,1.20097577584074,0.0011312496604083,0.000205681756437872,0,0
-31,0,1.08387755246992,0.000857384401711271,0.000229952203697541,0,0
-31,1,1.65944041094075,0.000411363512875745,0.000308522634656809,0,0
-30,0,1.97237908432872,0.000548450403541587,0.000276127758017844,0,0
-30,1,0.805758280845365,0.000308522634656809,0.000411363512875745,0,0
-29,0,1.06540465687896,0.00107622979056117,0.00037413511496049,0,0
-29,1,0.596014309717845,0.00102840878218936,0.000514204391094681,0,0
-28,0,0.69802089131223,0.000904485523935544,0.000637304922322748,0,0
-28,1,1.59063986341229,0.000514204391094681,0.000822727025751489,0,0
-27,0,0.79812229421717,0.000628254925039481,0.0002726311681584,0,0
-27,1,1.04208661899248,0.000925567903970426,0.000514204391094681,0,0
-26,0,0.617939984954122,0.00104157241460139,0.000265329465804855,0,0
-26,1,0.603778796023374,0.000925567903970426,0.000411363512875745,0,0
-25,0,1.0155708982591,0.000537857793085036,0.000410643626728212,0,0
-25,1,0.705077061069026,0.000514204391094681,0.0011312496604083,0,0
-24,0,0.840701708707912,0.0006902679746055,0.000561614035953611,0,0
-24,1,0.780870788316382,0.000925567903970426,0.000719886147532553,0,0
-23,0,1.13891259134659,0.000529836204583959,0.000280447074903039,0,0
-23,1,0.676075933411286,0.000205681756437872,0.000719886147532553,0,0
-22,0,0.965505593401919,0.000700757744183831,0.000301735136694359,0,0
-22,1,0.883711666535319,0.000205681756437872,0.000719886147532553,0,0
-21,0,1.20373540796686,0.00138022742657634,0.000477181674935864,0,0
-21,1,1.10908745115212,0.000514204391094681,0.000822727025751489,0,0
-20,0,0.655238880291396,0.00171661993923048,0.00177544492157171,0,0
-20,1,0.794137261606625,0.00205681756437872,0.0037022716158817,0,0
-19,0,0.95432396181537,0.00172279039192362,0.0020512641569549,0,0
-19,1,1.73873072804755,0.00195397668615979,0.00411363512875745,0,0
-18,0,0.861055358279735,0.00087394178310452,0.000301529454937921,0,0
-18,1,1.63547848631574,0.000617045269313617,0.000514204391094681,0,0
-17,0,0.867313379980675,0.000799382146395791,0.000268826055664299,0,0
-17,1,0.596888457182706,0.000719886147532553,0.000411363512875745,0,0
-16,0,0.478672507726965,0.00123964394605106,0.000815733846032602,0,0
-16,1,0.491630818325624,0.000617045269313617,0.0011312496604083,0,0
-15,0,0.853158618604816,0.00225807716305318,0.000547627676515835,0,0
-15,1,0.853887811851827,0.00154261317328404,0.000822727025751489,0,0
-14,0,0.744843983222238,0.00344177567135314,0.000557911764337729,0,0
-14,1,0.829514523713939,0.00205681756437872,0.00123409053862723,0,0
-13,0,1.19916850166736,0.00174356424932384,0.000621158904442375,0,0
-13,1,0.812237256173158,0.00174829492972192,0.00133693141684617,0,0
-12,0,1.56558628286498,0.00107293888245816,0.000714024217474074,0,0
-12,1,0.733204041261906,0.000102840878218936,0.00123409053862723,0,0
-11,0,0.82813100537926,0.00190358465583251,0.000607583908517475,0,0
-11,1,0.882426155557582,0.0011312496604083,0.000719886147532553,0,0
-10,0,0.911341102559375,0.00200621985229501,0.000937394604965603,0,0
-10,1,0.421699021136748,0.00154261317328404,0.00174829492972192,0,0
-9,0,1.02719932204107,0.00229931635521898,0.00111777750536162,0,0
-9,1,1.16230760563042,0.000822727025751489,0.00123409053862723,0,0
-8,0,2.49346887790192,0.000964441755937184,0.000875175873643147,0,0
-8,1,1.05010820749356,0.000617045269313617,0.000925567903970426,0,0
-7,0,0.963561900803581,0.00111356102935464,0.00039244079128346,0,0
-7,1,0.774237551671261,0.000411363512875745,0.000205681756437872,0,0
-6,0,0.763127445915513,0.000824681002437649,0.000664454914172547,0,0
-6,1,1.25157348792445,0.000514204391094681,0.000822727025751489,0,0
-5,0,1.8947775687036,0.000904279842179106,0.000532407226539433,0,0
-5,1,1.40033281826814,0.000205681756437872,0.000411363512875745,0,0
-4,0,0.479880836625598,0.000758245795108217,0.000333615808942229,0,0
-4,1,1.03123690634038,0.000308522634656809,0.000719886147532553,0,0
-3,0,0.960709249103106,0.00097061220863032,0.000508548142792639,0,0
-3,1,1.51320068211343,0.000617045269313617,0.000514204391094681,0,0
-2,0,1.06995130352546,0.000953951986358852,0.00032867944678772,0,0
-2,1,1.88085682174612,0.000617045269313617,0.000205681756437872,0,0
-1,0,1.67401928809839,0.00217662718750378,0.00178768298607977,0,0
-1,1,2.4069907547142,0.000205681756437872,0.000617045269313617,0,0
0,0,1.54507261288665,0.00422974248026663,0.00143000241163431,1.001,0
0,1,1.69738869500354,0.00277670371191128,0.00185113580794085,1,0
1,0,1.72782090490214,0.00165851484303678,0.000646663442240671,1.001,0
1,1,1.90265908792854,0.000514204391094681,0.000925567903970426,1,0
2,0,1.63257976190182,0.000656536166549689,0.000676590137802381,1.001,0
2,1,1.88517613863132,0.000514204391094681,0.00133693141684617,1,0
3,0,0.817972486269672,0.000347910691014661,0.000908084954673207,1.001,0
3,1,1.85103296706263,0.000205681756437872,0.00154261317328404,1,0
4,0,2.01043576267715,0.000809666234217685,0.00114245931613416,1.001,0
4,1,1.07926359646863,0.000308522634656809,0.00236534019903553,1,0
5,0,1.39415043603313,0.00117937919141476,0.00107993206217705,1.001,0
5,1,1.32582460199853,0.00102840878218936,0.00267386283369234,1,0
6,0,1.85542067313184,0.000415991352395597,0.000656330484793251,1.001,0
6,1,2.25293511914224,0.000514204391094681,0.0011312496604083,1,0
7,0,0.537847303315458,0.000471833949268479,0.0010269690098943,1.001,0
7,1,1.84136592451005,0.000308522634656809,0.00236534019903553,1,0
8,0,1.19275339052494,0.00020105391691802,0.000509782233331267,1.001,0
8,1,3.25409106860358,0.000102840878218936,0.000514204391094681,1,0
9,0,0.622267323427818,0.000258953331355281,0.000357989097080117,1.001,0
9,1,2.76302587510816,0.000308522634656809,0.000411363512875745,1,0
10,0,0.304512457451539,0.000124026099132037,0.00039830272134194,1.001,0
10,1,1.4967461415984,0.000102840878218936,0,1,0
11,0,0.448830604469346,0.000166499381836458,0.000491785079642953,1.001,0
11,1,4.02292947416835,0.000308522634656809,0.000925567903970426,1,0
12,0,2.22627362146398,0.000112610761649735,0.000451265773624692,0,1.001
12,1,2.16603457704723,0.000205681756437872,0.000719886147532553,0,1
13,0,0.494713370809359,0.000186141989576274,0.000406941355112331,0,1.001
13,1,1.31677460471526,0.000514204391094681,0.000925567903970426,0,1
14,0,1.89763623659545,0.000171641425747404,0.000344619782911655,0,1.001
14,1,1.30345671098591,0.000308522634656809,0.000719886147532553,0,1
15,0,0.720214775558902,8.00102032543324e-05,0.000462372588472337,0,1.001
15,1,1.2545558733928,0,0.000308522634656809,0,1
16,0,1.54627379434425,0.000204550506777464,0.000838667361875425,0,1.001
16,1,1.67640915584688,0.000308522634656809,0.00143977229506511,0,1
17,0,2.36819706721202,0.000246201062456133,0.000991797429543421,0,1.001
17,1,2.18475161688308,0.000514204391094681,0.00277670371191128,0,1
18,0,2.31125726100941,0.000182234036203955,0.00069510149588179,0,1.001
18,1,0.773671926841057,0,0.0011312496604083,0,1
19,0,2.60917689828097,6.6126684694776e-05,0.000347705009258223,0,1.001
19,1,0.958682666756923,0,0.000411363512875745,0,1
20,0,0.47968729009279,8.27869069662436e-05,0.000557603241703072,0,1.001
20,1,1.36937771392424,0.000102840878218936,0.0011312496604083,0,1
21,0,0.877896323394672,0.000362925459234626,0.000403341924374668,0,1.001
21,1,1.68443074434796,0.000205681756437872,0.000308522634656809,0,1
22,0,1.6725347800213,0.000130093710946954,0.000378248750089247,0,1.001
22,1,1.72253328972807,0.000102840878218936,0.000308522634656809,0,1
23,0,0.845639407793838,0.000157860748066067,0.000583416302136025,0,1.001
23,1,1.16559851373342,0.000205681756437872,0.000514204391094681,0,1
24,0,2.85389437822792,0.000123614735619161,0.000396760108168656,0,1.001
24,1,1.65501825317734,0.000102840878218936,0.000719886147532553,0,1
25,0,0.829344322060487,0.000180588582152452,0.000265020943170199,0,1.001
25,1,1.20652918326456,0.000308522634656809,0.000411363512875745,0,1
26,0,0.523608726623851,0.000131636324120238,0.000575394713634948,0,1.001
26,1,1.19429111875651,0.000102840878218936,0.000719886147532553,0,1
27,0,1.67653457029787,0.00016824767676618,0.000423704418262017,0,1.001
27,1,0.850802585505259,0.000102840878218936,0.000411363512875745,0,1
28,0,1.21210567846554,9.48192897178592e-05,0.000502789053612379,0,1.001
28,1,1.68761881157274,0.000102840878218936,0.000617045269313617,0,1
29,0,5.01109471815439,0.000119192577855747,0.000498778259361841,0,1.001
29,1,0.536160918594424,0.000102840878218936,0.000719886147532553,0,1
30,0,0.78261990597313,7.00346380670956e-05,0.000446329411470183,0,1.001
30,1,1.35698538809886,0.000102840878218936,0.000411363512875745,0,1
31,0,2.88281801528392,0.000126905643722167,0.00012957950655586,0,1.001
31,1,1.57624214046163,0.000308522634656809,0.000102840878218936,0,1
32,0,2.8200577753172,3.5480102985533e-05,0.000202699370969523,0,1.001
32,1,2.31721066802907,0,0.000205681756437872,0,1
33,0,1.36312478284678,5.30658931609711e-05,0.000175652219997943,0,1.001
33,1,1.38089589228477,0.000102840878218936,0.000102840878218936,0,1
34,0,2.44625889860805,2.48874925289826e-05,0.000288468663404116,0,1.001
34,1,1.60884269885704,0.000102840878218936,0.000411363512875745,0,1
35,0,0.990590746098839,8.17584981840543e-05,0.000276127758017844,0,1.001
35,1,2.3141254416825,0,0.000514204391094681,0,1
36,0,0.952001403421673,5.58425968728824e-05,0.000380202726775407,0,1.001
36,1,1.30998710675281,0.000102840878218936,0.000925567903970426,0,1
37,0,0.609422909101786,8.8648837024723e-05,0.000298855592104229,0,1.001
37,1,0.880317917554094,0.000308522634656809,0.000411363512875745,0,1
38,0,1.35868164554421,5.60482786293202e-05,0.000357166370054365,0,1.001
38,1,1.17459709057758,0,0.000205681756437872,0,1
39,0,0.754343189461564,0.000101298265045652,0.000351818644386981,0,1.001
39,1,1.05401616086588,0,0.000617045269313617,0,1
40,0,0.709076285720765,9.21454268841668e-05,0.000310373770464749,0,1.001
40,1,0.238590837467932,0.000102840878218936,0.000514204391094681,0,1
41,0,1.88957659696943,0.000121249395420126,0.000514512913729338,0,1.001
41,1,1.19958742398478,0.000205681756437872,0.00123409053862723,0,1
42,0,3.58665296422582,0.000138938026473783,0.00058290209774493,0,1.001
42,1,2.43018137275257,0.000205681756437872,0.000822727025751489,0,1
43,0,0.955603559442609,6.1190322540267e-05,0.000402313515592478,0,1.001
43,1,1.25100786309425,0,0.000411363512875745,0,1
44,0,1.84400209616188,0.000123100531228067,0.0003731067061783,0,1.001
44,1,1.56642083659173,0,0.000102840878218936,0,1
45,0,1.65377490695967,3.69198752805981e-05,0.000248155039142293,0,1.001
45,1,2.22979592154297,0.000102840878218936,0,0,1
46,0,0.645980835911493,0.000102120992071404,0.000218845388849896,0,1.001
46,1,1.04527468621727,0.000308522634656809,0.000308522634656809,0,1
47,0,0.598125221584166,5.13175982312492e-05,0.000314898769106383,0,1.001
47,1,1.45231888220782,0.000205681756437872,0.000205681756437872,0,1
48,0,1.55511250504321,6.47897532779298e-05,0.000305026044797365,0,1.001
48,1,1.18297862215242,0.000308522634656809,0.000411363512875745,0,1
49,0,0.528725574519634,9.58476985000485e-05,0.000231700498627263,0,1.001
49,1,1.04830849212473,0.000102840878218936,0.000205681756437872,0,1
50,0,1.0104191873056,7.46624775869477e-05,0.000237356746929305,0,1.001
50,1,0.90875342038163,0.000102840878218936,0.000205681756437872,0,1
51,0,1.72739997718759,7.15772512403796e-05,0.000301735136694359,0,1.001
51,1,1.40676037315683,0.000102840878218936,0.000411363512875745,0,1
52,0,0.558958118853167,6.43783897650541e-05,0.000147782342000611,0,1.001
52,1,1.12631329825379,0.000102840878218936,0.000411363512875745,0,1
