"t","g","y","pres","gop","s","l"
-53,0,0.214678016973693,0.088198447371748,0.0153851590454357,0,0
-53,1,0.172751073578715,0.0386756134877721,0.0103134969300726,0,0
-52,0,0.752181379729819,0.259301939815884,0.0519826029017982,0,0
-52,1,0.703896165477452,0.0773512269755442,0.0438323619528084,0,0
-51,0,0.835620148268339,0.293955289500928,0.0823919486001171,0,0
-51,1,0.755463650127815,0.123761963160871,0.0567242331153991,0,0
-50,0,0.85077583200708,0.31524492553883,0.0774337349509848,0,0
-50,1,0.788982515150551,0.0618809815804353,0.0464107361853265,0,0
-49,0,0.983255278448095,0.339602826913429,0.107997783103255,0,0
-49,1,0.809609509010696,0.0953998466031712,0.0618809815804353,0,0
-48,0,0.879326169883754,0.272392345794379,0.0766009200738814,0,0
-48,1,0.696161042779898,0.0850863496730986,0.0464107361853265,0,0
-47,0,0.572772943882742,0.163811850114575,0.0416897329655858,0,0
-47,1,0.531145091898737,0.0593026073479172,0.0128918711625907,0,0
-46,0,0.745044439854209,0.159696764839476,0.036749567936081,0,0
-46,1,0.626544938501908,0.0618809815804353,0.00257837423251814,0,0
-45,0,0.912522738127425,0.162703149194592,0.0434559193148607,0,0
-45,1,0.531145091898737,0.0438323619528084,0.0206269938601451,0,0
-44,0,0.759282222366174,0.15850297756982,0.0360482501448361,0,0
-44,1,0.466685736085783,0.0464107361853265,0.0103134969300726,0,0
-43,0,0.632243145555773,0.161529988918796,0.0245022903316199,0,0
-43,1,0.417696625667939,0.036097239255254,0.00773512269755442,0,0
-42,0,0.581294470721215,0.159890142906915,0.0371904699298416,0,0
-42,1,0.358394018320021,0.0799296012080623,0.00257837423251814,0,0
-41,0,0.422518185482747,0.151899761160341,0.0234245299024273,0,0
-41,1,0.428010122598011,0.100556595068207,0.00515674846503628,0,0
-40,0,0.451553257715134,0.164683340605166,0.0235405567428906,0,0
-40,1,0.36097239255254,0.0283621165576995,0.0154702453951088,0,0
-39,0,0.470233579029728,0.149115116989222,0.0250076516811934,0,0
-39,1,0.433166871063047,0.0850863496730986,0.00257837423251814,0,0
-38,0,0.456163390842877,0.169620927260438,0.0368449677826842,0,0
-38,1,0.407383128737866,0.0618809815804353,0.00515674846503628,0,0
-37,0,0.492384392061292,0.153294661620133,0.0349808032125736,0,0
-37,1,0.464107361853265,0.074772852743026,0.0206269938601451,0,0
-36,0,0.528030415825855,0.133461807023604,0.0305202157903172,0,0
-36,1,0.358394018320021,0.0618809815804353,0.0103134969300726,0,0
-35,0,0.563825985295904,0.148305507480211,0.0449797384862789,0,0
-35,1,0.440901993760602,0.0489891104178447,0.0103134969300726,0,0
-34,0,0.545377717662237,0.183848396275473,0.052513747993697,0,0
-34,1,0.569820705386509,0.0850863496730986,0.00515674846503628,0,0
-33,0,0.48048519497822,0.158211621281546,0.0484063978412956,0,0
-33,1,0.487312729945928,0.0567242331153991,0.018048619627627,0,0
-32,0,0.515950732546507,0.195110734923113,0.0419192082722799,0,0
-32,1,0.709052913942488,0.146967331253534,0.0309404907902177,0,0
-31,0,0.477089476113994,0.141604312849896,0.0429531363395197,0,0
-31,1,0.495047852643483,0.0799296012080623,0.0206269938601451,0,0
-30,0,0.435178002964412,0.130548244140858,0.0522559105704451,0,0
-30,1,0.47184248455082,0.0593026073479172,0.0309404907902177,0,0
-29,0,0.594245644491153,0.206396278938845,0.0642247237577943,0,0
-29,1,0.631701686966944,0.0618809815804353,0.0128918711625907,0,0
-28,0,0.573858439434632,0.177448871430363,0.0760620398592851,0,0
-28,1,0.580134202316581,0.118605214695834,0.0232053680926633,0,0
-27,0,0.466943573509035,0.169368246585652,0.0657872185427003,0,0
-27,1,0.631701686966944,0.092821472370653,0.0464107361853265,0,0
-26,0,0.555678322721147,0.225200362216599,0.0700595846459829,0,0
-26,1,0.662642177757162,0.108291717765762,0.0541458588828809,0,0
-25,0,0.541662280393178,0.167161158242616,0.0610301180837044,0,0
-25,1,0.649750306594571,0.123761963160871,0.0257837423251814,0,0
-24,0,0.620967915036971,0.154833951036947,0.108046772213673,0,0
-24,1,0.660063803524644,0.11087009199828,0.0335188650227358,0,0
-23,0,0.654883849691515,0.170324823425916,0.0853751275871406,0,0
-23,1,0.62396656426939,0.0850863496730986,0.036097239255254,0,0
-22,0,0.786319054568359,0.216601484151151,0.0671073461497496,0,0
-22,1,0.63685843543198,0.108291717765762,0.0283621165576995,0,0
-21,0,1.1254706659911,0.243045290279857,0.0853441870963504,0,0
-21,1,1.00814432491459,0.13923220855598,0.0386756134877721,0,0
-20,0,1.28963575337553,0.310918413576665,0.26502077386361,0,0
-20,1,1.32270598128181,0.149545705486052,0.273307668646923,0,0
-19,0,0.871047010223138,0.295922589040339,0.206581921883586,0,0
-19,1,1.29692223895662,0.224318558229078,0.234632055159151,0,0
-18,0,0.580085213206164,0.200169505167313,0.0505696538223783,0,0
-18,1,0.848285122498468,0.11087009199828,0.0257837423251814,0,0
-17,0,0.635419702610235,0.210818190747613,0.0512065122578102,0,0
-17,1,0.920479601008976,0.0850863496730986,0.0232053680926633,0,0
-16,0,0.895727208376802,0.294148667568367,0.110766957028979,0,0
-16,1,0.95657684026423,0.13923220855598,0.0541458588828809,0,0
-15,0,0.989046306974331,0.374101474144522,0.066099201824835,0,0
-15,1,1.3355978524444,0.165015950881161,0.036097239255254,0,0
-14,0,1.18443292794032,0.469055262005467,0.0632397848009724,0,0
-14,1,1.65789463150916,0.229475306694114,0.018048619627627,0,0
-13,0,1.05716179744899,0.261148055766367,0.0865044555009836,0,0
-13,1,1.03392806723977,0.126340337393389,0.0309404907902177,0,0
-12,0,0.861220826023011,0.248622313744794,0.0890725162365716,0,0
-12,1,0.964311962961784,0.092821472370653,0.0257837423251814,0,0
-11,0,1.04893678364726,0.290038739041733,0.0743190588781029,0,0
-11,1,1.28660874202655,0.123761963160871,0.0489891104178447,0,0
-10,0,1.2357322616705,0.306132951001111,0.106914865925597,0,0
-10,1,1.776499846205,0.128918711625907,0.0593026073479172,0,0
-9,0,1.56439246834113,0.315706454526451,0.139103289844354,0,0
-9,1,1.42068420211749,0.0799296012080623,0.0850863496730986,0,0
-8,0,0.891898322641512,0.208412567588674,0.11340979061731,0,0
-8,1,0.902430981381349,0.0721944785105079,0.0644593558129535,0,0
-7,0,0.781995120980427,0.184737935385692,0.0876724590283143,0,0
-7,1,0.837971625568395,0.0541458588828809,0.0644593558129535,0,0
-6,0,0.571687448330852,0.11719742236488,0.0660682613340448,0,0
-6,1,0.502782975341037,0.0464107361853265,0.0232053680926633,0,0
-5,0,0.712642010874154,0.168958285082681,0.0990740298845095,0,0
-5,1,0.62396656426939,0.0618809815804353,0.0489891104178447,0,0
-4,0,0.679138616096813,0.135338863464877,0.088631614242811,0,0
-4,1,0.582712576549099,0.0438323619528084,0.0438323619528084,0,0
-3,0,0.676392647539181,0.149334278798986,0.0638121838805914,0,0
-3,1,0.47184248455082,0.0412539877202902,0.0283621165576995,0,0
-2,0,0.529311867819416,0.164268222353731,0.0875125998258982,0,0
-2,1,0.500204601108519,0.0489891104178447,0.0257837423251814,0,0
-1,0,0.920789005916878,0.216482878936456,0.17025778569587,0,0
-1,1,0.63685843543198,0.11087009199828,0.0489891104178447,0,0
0,0,1.28159638251854,0.457086448818118,0.158961928183208,0.999,0
0,1,1.44131119597764,0.25010230055426,0.0644593558129535,1,0
1,0,1.12775510556111,0.241619449329275,0.100239455037608,0.999,0
1,1,1.17573865002827,0.126340337393389,0.0438323619528084,1,0
2,0,1.0986865144637,0.123924400737519,0.108691365771802,0.999,0
2,1,1.4077923309549,0.105713343533244,0.103134969300726,1,0
3,0,0.785965817298504,0.0803395627110327,0.177564898270827,0.999,0
3,1,0.768355521290406,0.0283621165576995,0.092821472370653,1,0
4,0,0.919437937819038,0.151157189381376,0.140869476193629,0.999,0
4,1,1.4645165640703,0.116026840463316,0.121183588928353,1,0
5,0,0.862935444887636,0.19221006391153,0.153800022969707,0.999,0
5,1,1.67852162536931,0.113448466230798,0.229475306694114,1,0
6,0,0.580918028083267,0.0571496648637646,0.102580618840734,0.999,0
6,1,0.611074693106799,0.0438323619528084,0.0825079754405805,1,0
7,0,0.710940283880692,0.0729267367925431,0.147519103339293,0.999,0
7,1,0.750306901662779,0.0412539877202902,0.195956441671379,1,0
8,0,0.653795775765392,0.035893547690885,0.106370828962536,0.999,0
8,1,0.469264110318301,0.0309404907902177,0.074772852743026,1,0
9,0,0.598435502618995,0.039162926217718,0.0836785573421437,0.999,0
9,1,0.376442637947648,0.0257837423251814,0.036097239255254,1,0
10,0,0.587387169032655,0.0378763174756915,0.103957470680899,0.999,0
10,1,0.407383128737866,0.0257837423251814,0.0541458588828809,1,0
11,0,0.519111819355575,0.0274210099628304,0.0752962627122272,0.999,0
11,1,0.404804754505348,0.018048619627627,0.0438323619528084,1,0
12,0,0.45337101154906,0.023875745393118,0.0770753409326647,0,0.999
12,1,0.353237269854985,0.0438323619528084,0.0283621165576995,0,1
13,0,0.480993134702026,0.0342485449305384,0.0899904174633481,0,0.999
13,1,0.358394018320021,0.0154702453951088,0.0670377300454716,0,1
14,0,0.50347140126112,0.0187318887992443,0.0926693482909344,0,0.999
14,1,0.206269938601451,0.00515674846503628,0.0232053680926633,0,1
15,0,0.533604860916559,0.0222462128781665,0.0954178952227988,0,0.999
15,1,0.309404907902177,0.0103134969300726,0.0386756134877721,0,1
16,0,0.66977653925854,0.0382011926289888,0.139371440764536,0,0.999
16,1,0.531145091898737,0.036097239255254,0.0902430981381349,0,1
17,0,0.490383573656857,0.055509818851883,0.189350646887667,0,0.999
17,1,0.642015183897017,0.0593026073479172,0.224318558229078,0,1
18,0,0.49927380801058,0.0316134464649049,0.130800924815645,0,0.999
18,1,0.590447699246654,0.0309404907902177,0.136653834323461,0,1
19,0,0.475996245439406,0.0295223849623327,0.101639512245865,0,0.999
19,1,0.420274999900457,0.0257837423251814,0.0644593558129535,0,1
20,0,0.468457079183523,0.0263793467728931,0.116759098745351,0,0.999
20,1,0.404804754505348,0.0309404907902177,0.092821472370653,0,1
21,0,0.589846938050477,0.0499946763685267,0.103823395220808,0,0.999
21,1,0.621388190036872,0.0567242331153991,0.0515674846503628,0,1
22,0,0.638114103683217,0.0349936950837362,0.0875641673105485,0,0.999
22,1,0.600761196176727,0.0335188650227358,0.0386756134877721,0,1
23,0,0.601818329612059,0.0242418745341355,0.126368699509947,0,0.999
23,1,0.384177760645203,0.00515674846503628,0.0283621165576995,0,1
24,0,0.531903133923097,0.0285812783674636,0.0964904989035263,0,0.999
24,1,0.479577607248374,0.036097239255254,0.0515674846503628,0,1
25,0,0.377236777211264,0.0303551998394361,0.0733006010562582,0,0.999
25,1,0.562085582688954,0.036097239255254,0.0489891104178447,0,1
26,0,0.534997183002119,0.0235457134913556,0.10663124476002,0,0.999
26,1,0.451215490690674,0.0541458588828809,0.0773512269755442,0,1
27,0,0.485126268596753,0.0230016765282943,0.0693505317320404,0,0.999
27,1,0.322296779064767,0.018048619627627,0.0206269938601451,0,1
28,0,0.446017488237918,0.0311673877226793,0.0885284792735103,0,0.999
28,1,0.376442637947648,0.0309404907902177,0.0283621165576995,0,1
29,0,0.477553583475847,0.0511575231473924,0.0749249768227446,0,0.999
29,1,0.335188650227358,0.0438323619528084,0.0670377300454716,0,1
30,0,0.46839261982771,0.0237571401784221,0.0887295924636467,0,0.999
30,1,0.394491257575275,0.0335188650227358,0.018048619627627,0,1
31,0,0.420540572446406,0.0196601035229508,0.0502318867979184,0,0.999
31,1,0.30424815943714,0.0128918711625907,0.0257837423251814,0,1
32,0,0.425970628580089,0.0144827280640544,0.0463875308172338,0,0.999
32,1,0.247523926321741,0.0103134969300726,0.0128918711625907,0,1
33,0,0.374632619236421,0.00939301732906358,0.0395445256041307,0,0.999
33,1,0.229475306694114,0.0206269938601451,0.0103134969300726,0,1
34,0,0.355446936572253,0.012077104905115,0.0406712751437411,0,0.999
34,1,0.19337806743886,0.0154702453951088,0.0154702453951088,0,1
